FATAL  | wrapper  | 2017/04/01 15:49:34 | OpenSCManager failed - Access is denied. (0x5)
STATUS | wrapper  | 2017/04/01 16:23:48 | Apache James :: Server :: App removed.
STATUS | wrapper  | 2017/04/01 16:24:02 | Apache James :: Server :: App installed.
STATUS | wrapper  | 2017/04/01 16:24:12 | Starting the Apache James :: Server :: App service...
STATUS | wrapper  | 2017/04/01 16:24:12 | --> Wrapper Started as Service
STATUS | wrapper  | 2017/04/01 16:24:12 | Launching a JVM...
INFO   | jvm 1    | 2017/04/01 16:24:15 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/04/01 16:24:15 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/04/01 16:24:15 | 
INFO   | jvm 1    | 2017/04/01 16:24:15 | INFO  16:24:15,925 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@25b7715d: startup date [Sat Apr 01 16:24:15 IST 2017]; root of context hierarchy
INFO   | wrapper  | 2017/04/01 16:24:17 | Waiting to start...
STATUS | wrapper  | 2017/04/01 16:24:19 | Apache James :: Server :: App started.
INFO   | jvm 1    | 2017/04/01 16:24:20 | log4j:WARN No appenders could be found for logger (org.apache.commons.configuration.ConfigurationUtils).
INFO   | jvm 1    | 2017/04/01 16:24:20 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2017/04/01 16:24:20 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2017/04/01 16:24:20 | WARN  16:24:20,791 | org.apache.james.container.spring.context.JamesServerApplicationContext | Exception encountered during context initialization - cancelling refresh attempt
INFO   | jvm 1    | 2017/04/01 16:24:20 | org.springframework.beans.FatalBeanException: Unable to config the indexer; nested exception is org.apache.commons.configuration.ConfigurationException: Unable to load configuration for component indexer
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.apache.james.container.spring.bean.factorypostprocessor.IndexerConfigurationBeanFactoryPostProcessor.postProcessBeanFactory(IndexerConfigurationBeanFactoryPostProcessor.java:67)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:696)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.springframework.context.support.AbstractApplicationContext.invokeBeanFactoryPostProcessors(AbstractApplicationContext.java:686)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:461)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.apache.james.container.spring.context.JamesServerApplicationContext.<init>(JamesServerApplicationContext.java:40)
INFO   | jvm 1    | 2017/04/01 16:24:20 | 	at org.apache.james.app.spring.JamesAppSpringMain.init(JamesAppSpringMain.java:61)
